KnowledgeComponent,Question,CorrectAnswer,Option1,Option2,Option3,FeedbackOption1,FeedbackOption2,FeedbackOption3,Difficulty
Viruses and Bacteria,"What are the primary differences between bacteria and viruses, and how does the immune system respond to each?",Bacteria are single-celled organisms; viruses require a host to replicate. The immune system uses antibodies and T-cells against both.,"Viruses are structurally similar to bacteria, allowing them to replicate independently without needing host cells.","Bacteria and viruses replicate similarly, making both susceptible to immune cells without requiring different strategies.",Viruses can reproduce independently without a host cell and are structurally similar to complex cells.,"Incorrect. Bacteria and viruses are distinct entities, and they replicate differently.",Incorrect. Bacteria and viruses are fundamentally different and require distinct responses.,Incorrect. Viruses cannot replicate independently like bacteria; they require host cells.,0.5
Viruses and Bacteria,"Why are antibiotics effective against bacteria but not viruses, and what treatments are available for viral infections?",Antibiotics target bacterial cell structures. Antiviral treatments inhibit virus replication or stimulate the immune response.,Antibiotics destroy viral structures directly and are ineffective against bacterial cell structures.,"Antibiotics enhance viral replication, leading to more severe viral infections in the host.","Antibiotics destroy healthy cells, leading to more severe infections and damaging the host's immune system.",Incorrect. Antibiotics cannot target viral structures because they lack bacterial characteristics.,Incorrect. Antibiotics do not enhance viral replication but target bacterial structures.,Incorrect. Antibiotics do not target the body's cells; they focus on bacterial components.,0.3
Introduction to Defense Mechanisms,What is the primary function of the skin in the body's defense system?,The skin acts as a physical barrier that prevents pathogens from entering the body.,The skin filters toxins out of the blood.,The skin actively kills pathogens using antimicrobial peptides.,The skin detects pathogens and triggers an immune response.,Incorrect. The skin does not filter toxins; it acts as a barrier to pathogens.,"Incorrect. The skin does not actively kill pathogens, but forms a protective barrier.",Incorrect. The skin does not detect pathogens but blocks their entry.,0.4
Introduction to Defense Mechanisms,How does mucus in the respiratory tract protect the body?,"Mucus traps dust, pathogens, and other particles, preventing them from reaching the lungs.",Mucus neutralizes pathogens through its acidic nature.,Mucus breaks down pathogens with enzymes.,Mucus slows down the movement of air to prevent pathogens.,Incorrect. Mucus does not neutralize pathogens; it traps them.,Incorrect. Mucus does not break down pathogens; it traps them.,Incorrect. Mucus does not slow air; it traps pathogens.,0.5
Introduction to Defense Mechanisms,What role do enzymes in saliva play in defense against pathogens?,"Enzymes in saliva break down the cell walls of certain bacteria, inhibiting their growth.","Enzymes in saliva coat pathogens, making them harmless.","Enzymes in saliva cause inflammation, preventing infections.",Enzymes in saliva create a barrier by coating the mouth.,"Incorrect. Enzymes in saliva break down bacteria, not coat them.",Incorrect. Enzymes in saliva do not cause inflammation; they break down bacteria.,Incorrect. Enzymes do not coat the mouth; they attack pathogens.,0.3
Introduction to Defense Mechanisms,Why is stomach acid considered an important barrier against pathogens?,"Stomach acid has a low pH, which destroys many ingested pathogens before they can infect the body.",Stomach acid increases the absorption of nutrients.,Stomach acid helps digest food but has no defensive role.,Stomach acid neutralizes toxins but not pathogens.,Incorrect. Stomach acid is primarily a defensive mechanism against pathogens.,Incorrect. Stomach acid has a significant role in pathogen defense.,Incorrect. Stomach acid specifically targets pathogens ingested.,0.4
Introduction to Defense Mechanisms,How do tears contribute to the body's defense mechanisms?,"Tears contain lysozyme, an enzyme that breaks down bacterial cell walls.",Tears wash away irritants without any antimicrobial properties.,Tears dilute pathogens but do not destroy them.,Tears flush out bacteria but have no active defense properties.,Incorrect. Tears contain enzymes that actively fight bacteria.,"Incorrect. Tears contain lysozyme, which actively destroys bacterial cell walls.",Incorrect. Tears actively destroy bacteria through lysozyme.,0.5
Introduction to Defense Mechanisms,What is the purpose of coughing or sneezing in response to irritants?,Coughing and sneezing expel irritants and pathogens from the respiratory tract.,Coughing and sneezing spread pathogens to build immunity.,Coughing and sneezing stimulate the immune system.,Coughing and sneezing are involuntary reactions without purpose.,"Incorrect. Coughing and sneezing expel pathogens, not spread them.","Incorrect. Coughing and sneezing are meant to expel pathogens, not stimulate the immune system.",Incorrect. Coughing and sneezing have a clear purpose to expel irritants.,0.4
Introduction to Defense Mechanisms,How does the presence of normal flora on the skin and gut prevent infections?,"Normal flora compete for resources, preventing pathogenic bacteria from establishing.",Normal flora are harmful bacteria that need to be removed.,Normal flora promote the growth of other bacteria.,Normal flora stimulate the immune system to overreact.,Incorrect. Normal flora are beneficial and prevent harmful bacteria from growing.,Incorrect. Normal flora do not promote harmful bacterial growth.,Incorrect. Normal flora do not overreact the immune system; they protect.,0.5
Introduction to Defense Mechanisms,What is the function of cilia in the respiratory tract?,Cilia move mucus and trapped particles up and out of the respiratory tract.,Cilia directly kill pathogens through chemical secretion.,Cilia produce antibodies against pathogens in the air.,Cilia function as a barrier but do not move.,Incorrect. Cilia do not kill pathogens but move particles out of the respiratory tract.,Incorrect. Cilia do not produce antibodies; they move mucus and particles.,Incorrect. Cilia are not static; they move particles up and out.,0.3
Introduction to Defense Mechanisms,What is the difference between innate and adaptive immune defenses?,"Innate immunity provides immediate defense, while adaptive immunity targets specific pathogens.",Innate immunity creates memory cells for long-term defense.,Innate immunity provides a slower but more specific response.,Innate immunity targets previously encountered pathogens.,Incorrect. Innate immunity is immediate and non-specific.,Incorrect. Innate immunity is rapid and non-specific.,Incorrect. Innate immunity is the first line of defense.,0.4
Introduction to Defense Mechanisms,Why are physical barriers like skin and mucous membranes crucial for defense?,Physical barriers prevent the entry of harmful substances and organisms into the body.,Physical barriers only activate when pathogens are detected.,Physical barriers block pathogens only after they enter.,Physical barriers are only effective against bacterial pathogens.,"Incorrect. Physical barriers prevent entry, not just respond.",Incorrect. Physical barriers block pathogens before they enter.,Incorrect. Physical barriers protect against all types of pathogens.,0.3
Innate Immunity,What is the function of the complement system in innate immunity?,The complement system enhances the ability of antibodies and phagocytes to clear pathogens.,The complement system directly destroys pathogens.,The complement system weakens host cells.,The complement system neutralizes toxins only.,Incorrect. The complement system helps in pathogen clearance but does not destroy them directly.,Incorrect. The complement system does not target host cells.,Incorrect. It has multiple roles beyond toxin neutralization.,0.5
Innate Immunity,What role do natural killer (NK) cells play in innate immunity?,NK cells identify and destroy infected or abnormal cells.,NK cells produce antibodies to fight infections.,NK cells engulf pathogens like macrophages.,NK cells only target bacteria.,Incorrect. Antibody production is part of the adaptive immunity.,Incorrect. NK cells do not engulf; they destroy cells.,"Incorrect. NK cells target a variety of cells, not just bacteria.",0.6
Innate Immunity,What triggers the release of cytokines during an infection?,Cytokines are released in response to pathogen detection and tissue damage.,Cytokines are released only when antibodies are present.,Cytokines are released during nutrient deficiency.,Cytokines are released to promote pathogen growth.,Incorrect. Cytokines are independent of antibody presence.,Incorrect. Cytokine release is not linked to nutrient levels.,"Incorrect. Cytokines promote an immune response, not pathogen growth.",0.4
Innate Immunity,How does the skin function as part of innate immunity?,The skin acts as a physical barrier that blocks pathogen entry.,The skin releases antibodies to neutralize pathogens.,The skin kills pathogens using white blood cells.,The skin does not play a role in immunity.,Incorrect. Antibodies are part of adaptive immunity.,Incorrect. White blood cells are not present on the skin.,Incorrect. The skin is a crucial first-line defense.,0.3
Innate Immunity,What is the role of lysozyme in innate immunity?,"Lysozyme breaks down the cell walls of bacteria, inhibiting their growth.",Lysozyme neutralizes toxins in the bloodstream.,Lysozyme enhances the production of red blood cells.,Lysozyme stimulates the adaptive immune response.,"Incorrect. Lysozyme targets bacteria, not toxins.",Incorrect. Lysozyme does not affect red blood cells.,Incorrect. Lysozyme is part of the innate response.,0.5
Innate Immunity,What is the purpose of the inflammatory response?,"The inflammatory response increases blood flow to the site of infection, bringing immune cells to fight pathogens.",Inflammation reduces blood flow to prevent spread.,Inflammation destroys healthy tissue.,Inflammation causes immune cells to leave the area.,Incorrect. Inflammation increases blood flow.,"Incorrect. Inflammation promotes tissue repair, not destruction.",Incorrect. Immune cells are recruited to the site.,0.4
Innate Immunity,What is the primary function of phagocytes in innate immunity?,Phagocytes engulf and digest pathogens and debris.,Phagocytes produce antibodies to fight infections.,Phagocytes neutralize toxins.,Phagocytes increase pathogen growth.,Incorrect. Antibody production is an adaptive function.,"Incorrect. Phagocytes target pathogens, not toxins.",Incorrect. Phagocytes destroy pathogens.,0.5
Innate Immunity,What is the function of neutrophils?,Neutrophils are the first immune cells to respond to infection and ingest pathogens.,Neutrophils produce antibodies.,Neutrophils release histamines.,Neutrophils regulate the adaptive immune response.,Incorrect. Antibodies are produced by B-cells.,Incorrect. Histamine release is linked to basophils and mast cells.,Incorrect. Neutrophils do not regulate adaptive immunity.,0.5
Innate Immunity,What is the purpose of fever in innate immunity?,Fever increases body temperature to inhibit pathogen replication.,Fever lowers body temperature to reduce blood flow.,Fever enhances pathogen growth.,Fever triggers tissue destruction.,Incorrect. Fever raises body temperature.,"Incorrect. Fever inhibits growth, not enhances it.","Incorrect. Fever aims to fight infection, not cause damage.",0.4
Innate Immunity,What is the role of interferons in innate immunity?,Interferons are proteins that interfere with viral replication in infected cells.,Interferons increase bacterial growth.,Interferons promote cell division.,Interferons break down toxins.,"Incorrect. Interferons inhibit viruses, not bacteria.",Incorrect. Interferons slow cell replication.,"Incorrect. Interferons target viruses, not toxins.",0.6
